codigo,region,macro,pct_FUERZA POPULAR,votos_FUERZA POPULAR,pct_JUNTOS POR EL PERÚ,votos_JUNTOS POR EL PERÚ,actas_total,actas_cont,impugnadas,pendientes,avance,pred_FUERZA POPULAR,pred_JUNTOS POR EL PERÚ
01,Amazonas,NORTE,35.551,69084,64.449,125241,1278,99.687,0,0,0,0,0
02,Ancash,CENTRO,43.4,267471,56.6,348825,3472,98.704,0,0,0,0,0
03,Apurímac,SUR,18.838,43132,81.162,185825,1317,99.241,0,0,0,0,0
04,Arequipa,SUR,36.403,332308,63.597,580551,4215,99.407,0,0,0,0,0
05,Ayacucho,CENTRO,20.686,66835,79.314,256263,1900,99.158,0,0,0,0,0
06,Cajamarca,NORTE,33.24,244266,66.76,490590,4240,99.269,0,0,0,0,0
07,Callao,LIMA METRO,22.013,158153,77.987,560300,3983,93.171,0,0,0,0,0
08,Cusco,SUR,18.598,36707,81.402,160659,1273,99.136,0,0,0,0,0
09,Huancavelica,CENTRO,35.86,139754,64.14,249970,2341,99.146,0,0,0,0,0
10,Huánuco,CENTRO,51.911,279728,48.089,259131,2443,99.099,0,0,0,0,0
11,Ica,CENTRO,45.069,321180,54.931,391453,3691,99.133,0,0,0,0,0
12,Junín,CENTRO,57.525,599810,42.475,442887,5302,99.321,0,0,0,0,0
13,La Libertad,NORTE,58.848,435721,41.152,304695,3590,99.638,0,0,0,0,0
14,Lambayeque,NORTE,63.499,3944506,36.501,2267411,29247,96.875,0,0,0,0,0
15,Lima,LIMA METRO,54.285,203543,45.715,171408,2697,90.063,0,0,0,0,0
16,Loreto,ORIENTE,30.853,29039,69.147,65081,507,98.422,0,0,0,0,0
17,Madre de Dios,ORIENTE,27.431,33353,72.569,88235,578,99.654,0,0,0,0,0
18,Moquegua,SUR,39.236,50699,60.764,78518,802,98.254,0,0,0,0,0
19,Pasco,CENTRO,56.957,582091,43.043,439893,5281,98.769,0,0,0,0,0
20,Piura,NORTE,13.578,95674,86.422,608930,3397,99.293,0,0,0,0,0
21,Puno,SUR,45.376,218127,54.624,262583,2534,99.448,0,0,0,0,0
22,San Martín,NORTE,28.635,65417,71.365,163032,1041,98.751,0,0,0,0,0
23,Tacna,SUR,64.339,81960,35.661,45427,632,99.684,0,0,0,0,0
24,Tumbes,NORTE,65.606,394407,34.394,206765,2898,97.619,0,0,0,0,0
